Year,Week_Number,Label,mean_return,volatility
2020,0,Red,-0.659,0.9319667376038697
2020,1,Red,-0.3268,1.0115254322062297
2020,2,Green,0.316,1.053110867857701
2020,3,Red,-0.92225,1.1193627279245395
2020,4,Red,-0.10579999999999998,1.7511728070067785
2020,5,Green,0.7194,0.8727458392911421
2020,6,Green,0.042199999999999994,0.2715275308325106
2020,7,Red,-0.29674999999999996,1.2647638448869944
2020,8,Red,-3.0688000000000004,2.017148779837521
2020,9,Red,-1.3388000000000002,4.575919546932616
2020,10,Red,-0.14339999999999975,12.827406491571084
2020,11,Red,-3.9617999999999993,8.675197012172116
2020,12,Green,2.0241999999999996,8.10919692078075
2020,13,Red,-1.3274000000000001,4.305766168755567
2020,14,Green,5.1935,3.274789407987431
2020,15,Green,-1.3898,5.860052917849805
2020,16,Green,-0.937,2.2134566858197156
2020,17,Green,0.5903999999999998,3.0011305869621867
2020,18,Red,-0.11099999999999999,1.4731325466501648
2020,19,Red,-1.4716,3.21084253740354
2020,20,Green,0.8572000000000001,3.140814337078841
2020,21,Green,2.2115,4.934548780452643
2020,22,Green,2.7286,2.1443648943218596
2020,23,Red,-2.0460000000000003,4.558458785598484
2020,24,Green,-0.4062,1.5552129114690376
2020,25,Red,-1.0404,3.5564349143489187
2020,26,Red,0.2655,0.8254087876117303
2020,27,Green,0.8116,3.4134505709032905
2020,28,Green,0.3982,1.3701679459102816
2020,29,Green,0.030000000000000072,1.2852060146139996
2020,30,Red,-0.31980000000000003,1.9246462532112232
2020,31,Green,0.567,1.3122823629082272
2020,32,Green,0.613,1.6416752114836846
2020,33,Red,-1.0088000000000001,1.1485409004471718
2020,34,Green,1.1116,1.9373041320350297
2020,35,Green,0.1586,1.816935964749446
2020,36,Red,-0.5780000000000001,2.1829516714760313
2020,37,Red,-0.5336000000000001,1.7086840843175193
2020,38,Red,-1.0038,1.5075714576762194
2020,39,Green,0.9362,1.3232734789150729
2020,40,Green,0.8622,1.5363460547676098
2020,41,Green,0.06760000000000004,1.2984050985728606
2020,42,Green,0.465,2.01896458611834
2020,43,Red,-1.1236000000000002,1.768830913343613
2020,44,Green,1.0216,3.071308564765188
2020,45,Green,2.2234,6.382050281845169
2020,46,Green,0.09659999999999999,1.60291181915912
2020,47,Green,1.44875,2.754412263381549
2020,48,Green,0.19820000000000004,1.9240186329659075
2020,49,Red,-0.4572,0.3409225718546662
2020,50,Red,-0.07619999999999998,1.1214246296564025
2020,51,Green,1.148,2.530110142530031
2020,52,Green,0.50925,0.6840805873579516
2021,1,Green,1.5382000000000002,2.3564398358540792
2021,2,Green,0.39,1.368260391884527
2021,3,Red,-0.886,0.44461743855438984
2021,4,Red,-0.7662000000000001,1.6662822990117852
2021,5,Red,1.4132,1.2914688149545075
2021,6,Green,0.47400000000000003,0.9493916473194822
2021,7,Green,1.18075,1.0362391535419482
2021,8,Red,-0.10140000000000002,1.8334544717554346
2021,9,Green,0.5128,1.5843220000997271
2021,10,Green,0.6916,1.2499011160887887
2021,11,Red,-0.12220000000000004,1.4070759396706347
2021,12,Red,0.006800000000000051,1.8191928704785538
2021,13,Red,-0.215,1.4919591147213116
2021,14,Green,0.453,0.8341013127911979
2021,15,Red,-0.37779999999999997,1.141113578921923
2021,16,Red,-0.39659999999999995,1.8092717595762116
2021,17,Red,0.4822,1.0119299382862432
2021,18,Green,0.9511999999999998,0.9196965260345393
2021,19,Green,0.35259999999999997,1.7083596810976311
2021,20,Red,-0.1618,0.9912957177351267
2021,21,Green,0.19680000000000003,0.9472437384327225
2021,22,Green,0.33525,0.5160067021528564
2021,23,Red,-0.7496,0.6262589719916195
2021,24,Red,-1.5854,1.3991886220234926
2021,25,Green,0.817,0.6720040922494446
2021,26,Green,0.3724,0.5412751610779862
2021,27,Green,-0.022249999999999992,2.312348067081021
2021,28,Red,-0.49160000000000004,1.453570878904775
2021,29,Red,-0.14719999999999994,2.235877389303805
2021,30,Green,0.1518,0.6614489398283137
2021,31,Green,0.7518,1.5354737705346841
2021,32,Green,0.3166,0.9793443214722798
2021,33,Red,-0.6642,0.5694556172345655
2021,34,Green,1.0558,0.6324778256982612
2021,35,Red,-0.4382,0.7580073878267942
2021,36,Red,-0.33325,0.6538549150996726
2021,37,Red,0.04619999999999996,1.2370673789248505
2021,38,Green,0.6942,2.3960579500504573
2021,39,Green,0.5077999999999999,1.6664098235428162
2021,40,Green,0.4902,0.6974146542767795
2021,41,Red,-0.41080000000000005,2.071671233569651
2021,42,Green,0.617,0.9750376915791513
2021,43,Red,-0.21440000000000006,1.3007433643882256
2021,44,Red,-0.21600000000000003,0.6442406382711354
2021,45,Red,-0.1406,0.5093827637445146
2021,46,Red,-0.7222000000000001,0.4155282180550438
2021,47,Green,0.18225000000000002,2.571009577967379
2021,48,Red,-0.4444,1.538707184619608
2021,49,Green,0.19739999999999996,1.1120563385008873
2021,50,Red,-0.3762,1.536090882727972
2021,51,Red,0.08550000000000002,1.3488052738133354
2021,52,Green,0.19499999999999998,0.30200110375074235
