Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-03,2017,1,3,Tuesday,01,2017-01,87.34,87.76,85.98,87.23,20550700,75.65,0.0,75.65,75.65
2017-01-04,2017,1,4,Wednesday,01,2017-01,86.96,87.18,86.4,86.91,15266600,75.79,0.0018447266956520547,75.72,75.72
2017-01-05,2017,1,5,Thursday,01,2017-01,86.81,87.11,85.26,86.11,14300800,75.09,-0.009205139778806881,75.51,75.51
2017-01-06,2017,1,6,Friday,01,2017-01,86.39,86.62,85.94,86.12,12893300,75.1,0.00011622851867865158,75.4075,75.4075
2017-01-09,2017,1,9,Monday,02,2017-02,85.73,86.77,85.52,86.18,12806600,75.15,0.0006966805477912619,75.35600000000001,75.35600000000001
2017-01-10,2017,1,10,Tuesday,02,2017-02,86.07,86.9,85.72,86.43,13989000,75.37,0.0029009161904642866,75.35833333333333,75.35833333333333
2017-01-11,2017,1,11,Wednesday,02,2017-02,86.43,87.08,85.91,87.08,14713100,75.94,0.007520606053673884,75.44142857142857,75.44142857142857
2017-01-12,2017,1,12,Thursday,02,2017-02,86.76,87.27,86.02,86.24,21337400,75.21,-0.009646603650655505,75.4125,75.4125
2017-01-13,2017,1,13,Friday,02,2017-02,87.11,88.17,86.1,86.7,28296000,75.61,0.005334192506708302,75.43444444444444,75.43444444444444
2017-01-17,2017,1,17,Tuesday,03,2017-03,84.93,85.22,83.28,83.55,30024600,72.86,-0.03633235887480257,75.17699999999999,75.17699999999999
2017-01-18,2017,1,18,Wednesday,03,2017-03,83.63,84.23,83.03,83.94,21270100,73.2,0.00466792829909668,74.99727272727273,74.99727272727273
2017-01-19,2017,1,19,Thursday,03,2017-03,84.06,84.67,83.12,83.3,16555600,72.64,-0.007624256876756164,74.80083333333333,74.80083333333333
2017-01-20,2017,1,20,Friday,03,2017-03,83.43,83.83,83.29,83.67,18436800,72.97,0.004441637693604283,74.66,74.66
2017-01-23,2017,1,23,Monday,04,2017-04,83.3,84.0,83.21,83.71,12179200,73.0,0.00047826282895080396,74.54142857142857,74.54142857142857
2017-01-24,2017,1,24,Tuesday,04,2017-04,83.92,85.0,83.56,84.72,15175300,73.88,0.012065190320633024,74.41499999999999,74.49733333333333
2017-01-25,2017,1,25,Wednesday,04,2017-04,85.84,86.17,85.17,86.03,17551000,75.02,0.015462633097327316,74.36,74.53
2017-01-26,2017,1,26,Thursday,04,2017-04,85.95,86.95,85.95,86.75,15962800,75.65,0.00836911734885959,74.4,74.59588235294119
2017-01-27,2017,1,27,Friday,04,2017-04,86.66,86.98,86.27,86.93,12535400,75.81,0.0020751662593718745,74.45071428571428,74.66333333333334
2017-01-30,2017,1,30,Monday,05,2017-05,86.19,86.5,85.32,86.03,13661900,75.02,-0.010353337911110594,74.44142857142857,74.6821052631579
